StudentID,Age,Gender,StudyHours,Marks
221,20,Male,5,70
222,21,Female,6,71
223,22,Male,1,72
224,23,Female,2,73
225,24,Male,3,74
226,20,Female,4,75
227,21,Male,5,76
228,22,Female,6,77
229,23,Male,1,78
230,24,Female,2,79
231,20,Male,3,80
232,21,Female,4,81
233,22,Male,5,82
234,23,Female,6,83
235,24,Male,1,84
236,20,Female,2,85
237,21,Male,3,86
238,22,Female,4,87
239,23,Male,5,88
240,24,Female,6,89
241,20,Male,1,90
242,21,Female,2,91
243,22,Male,3,92
244,23,Female,4,93
245,24,Male,5,94
246,20,Female,6,95
247,21,Male,1,96
248,22,Female,2,97
249,23,Male,3,98
250,24,Female,4,99
251,20,Male,5,50
252,21,Female,6,51
253,22,Male,1,52
254,23,Female,2,53
255,24,Male,3,54
256,20,Female,4,55
257,21,Male,5,56
258,22,Female,6,57
259,23,Male,1,58
260,24,Female,2,59
261,20,Male,3,60
262,21,Female,4,61
263,22,Male,5,62
264,23,Female,6,63
265,24,Male,1,64
266,20,Female,2,65
267,21,Male,3,66
268,22,Female,4,67
269,23,Male,5,68
270,24,Female,6,69
271,20,Male,1,70
272,21,Female,2,71
273,22,Male,3,72
274,23,Female,4,73
275,24,Male,5,74
276,20,Female,6,75
277,21,Male,1,76
278,22,Female,2,77
279,23,Male,3,78
280,24,Female,4,79
281,20,Male,5,80
282,21,Female,6,81
283,22,Male,1,82
284,23,Female,2,83
285,24,Male,3,84
286,20,Female,4,85
287,21,Male,5,86
288,22,Female,6,87
289,23,Male,1,88
290,24,Female,2,89
291,20,Male,3,90
292,21,Female,4,91
293,22,Male,5,92
294,23,Female,6,93
295,24,Male,1,94
296,20,Female,2,95
297,21,Male,3,96
298,22,Female,4,97
299,23,Male,5,98
300,24,Female,6,99
301,20,Male,1,50
302,21,Female,2,51
303,22,Male,3,52
304,23,Female,4,53
305,24,Male,5,54
306,20,Female,6,55
307,21,Male,1,56
308,22,Female,2,57
309,23,Male,3,58
310,24,Female,4,59
311,20,Male,5,60
312,21,Female,6,61
313,22,Male,1,62
314,23,Female,2,63
315,24,Male,3,64
316,20,Female,4,65
317,21,Male,5,66
318,22,Female,6,67
319,23,Male,1,68
320,24,Female,2,69
321,20,Male,3,70
322,21,Female,4,71
323,22,Male,5,72
324,23,Female,6,73
325,24,Male,1,74
326,20,Female,2,75
327,21,Male,3,76
328,22,Female,4,77
329,23,Male,5,78
330,24,Female,6,79
331,20,Male,1,80
332,21,Female,2,81
333,22,Male,3,82
334,23,Female,4,83
335,24,Male,5,84
336,20,Female,6,85
337,21,Male,1,86
338,22,Female,2,87
339,23,Male,3,88
340,24,Female,4,89
341,20,Male,5,90
342,21,Female,6,91
343,22,Male,1,92
344,23,Female,2,93
345,24,Male,3,94
346,20,Female,4,95
347,21,Male,5,96
348,22,Female,6,97
349,23,Male,1,98
350,24,Female,2,99
351,20,Male,3,50
352,21,Female,4,51
353,22,Male,5,52
354,23,Female,6,53
355,24,Male,1,54
356,20,Female,2,55
357,21,Male,3,56
358,22,Female,4,57
359,23,Male,5,58
360,24,Female,6,59
361,20,Male,1,60
362,21,Female,2,61
363,22,Male,3,62
364,23,Female,4,63
365,24,Male,5,64
366,20,Female,6,65
367,21,Male,1,66
368,22,Female,2,67
369,23,Male,3,68
370,24,Female,4,69
371,20,Male,5,70
372,21,Female,6,71
373,22,Male,1,72
374,23,Female,2,73
375,24,Male,3,74
376,20,Female,4,75
377,21,Male,5,76
378,22,Female,6,77
379,23,Male,1,78
380,24,Female,2,79
381,20,Male,3,80
382,21,Female,4,81
383,22,Male,5,82
384,23,Female,6,83
385,24,Male,1,84
386,20,Female,2,85
387,21,Male,3,86
388,22,Female,4,87
389,23,Male,5,88
390,24,Female,6,89
391,20,Male,1,90
392,21,Female,2,91
393,22,Male,3,92
394,23,Female,4,93
395,24,Male,5,94
396,20,Female,6,95
397,21,Male,1,96
398,22,Female,2,97
399,23,Male,3,98
400,24,Female,4,99
401,20,Male,5,50
402,21,Female,6,51
403,22,Male,1,52
404,23,Female,2,53
405,24,Male,3,54
406,20,Female,4,55
407,21,Male,5,56
408,22,Female,6,57
409,23,Male,1,58
410,24,Female,2,59
411,20,Male,3,60
412,21,Female,4,61
413,22,Male,5,62
414,23,Female,6,63
415,24,Male,1,64
416,20,Female,2,65
417,21,Male,3,66
418,22,Female,4,67
419,23,Male,5,68
420,24,Female,6,69
421,20,Male,1,70
422,21,Female,2,71
423,22,Male,3,72
424,23,Female,4,73
425,24,Male,5,74
426,20,Female,6,75
427,21,Male,1,76
428,22,Female,2,77
429,23,Male,3,78
430,24,Female,4,79
431,20,Male,5,80
432,21,Female,6,81
433,22,Male,1,82
434,23,Female,2,83
435,24,Male,3,84
436,20,Female,4,85
437,21,Male,5,86
438,22,Female,6,87
439,23,Male,1,88
440,24,Female,2,89
441,20,Male,3,90
442,21,Female,4,91
443,22,Male,5,92
444,23,Female,6,93
445,24,Male,1,94
446,20,Female,2,95
447,21,Male,3,96
448,22,Female,4,97
449,23,Male,5,98
450,24,Female,6,99
451,20,Male,1,50
452,21,Female,2,51
453,22,Male,3,52
454,23,Female,4,53
455,24,Male,5,54
456,20,Female,6,55
457,21,Male,1,56
458,22,Female,2,57
459,23,Male,3,58
460,24,Female,4,59
461,20,Male,5,60
462,21,Female,6,61
463,22,Male,1,62
464,23,Female,2,63
465,24,Male,3,64
466,20,Female,4,65
467,21,Male,5,66
468,22,Female,6,67
469,23,Male,1,68
470,24,Female,2,69
471,20,Male,3,70
472,21,Female,4,71
473,22,Male,5,72
474,23,Female,6,73
475,24,Male,1,74
476,20,Female,2,75
477,21,Male,3,76
478,22,Female,4,77
479,23,Male,5,78
480,24,Female,6,79
481,20,Male,1,80
482,21,Female,2,81
483,22,Male,3,82
484,23,Female,4,83
485,24,Male,5,84
486,20,Female,6,85
487,21,Male,1,86
488,22,Female,2,87
489,23,Male,3,88
490,24,Female,4,89
491,20,Male,5,90
492,21,Female,6,91
493,22,Male,1,92
494,23,Female,2,93
495,24,Male,3,94
496,20,Female,4,95
497,21,Male,5,96
498,22,Female,6,97
499,23,Male,1,98
500,24,Female,2,99
